Program,Year,Period,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,YEAR,COUNTY,IOWA,19,CENTRAL,50,BOONE,015,AG LAND,"AG LAND, CROPLAND - ACRES",TOTAL,NOT SPECIFIED,"310,616",(L)
CENSUS,2022,YEAR,COUNTY,IOWA,19,CENTRAL,50,DALLAS,049,AG LAND,"AG LAND, CROPLAND - ACRES",TOTAL,NOT SPECIFIED,"254,834",(L)
CENSUS,2022,YEAR,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,075,AG LAND,"AG LAND, CROPLAND - ACRES",TOTAL,NOT SPECIFIED,"309,513",(L)
CENSUS,2022,YEAR,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,079,AG LAND,"AG LAND, CROPLAND - ACRES",TOTAL,NOT SPECIFIED,"350,607",(L)
CENSUS,2022,YEAR,COUNTY,IOWA,19,CENTRAL,50,HARDIN,083,AG LAND,"AG LAND, CROPLAND - ACRES",TOTAL,NOT SPECIFIED,"310,937",(L)
CENSUS,2022,YEAR,COUNTY,IOWA,19,CENTRAL,50,JASPER,099,AG LAND,"AG LAND, CROPLAND - ACRES",TOTAL,NOT SPECIFIED,"376,681",(L)
CENSUS,2022,YEAR,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,AG LAND,"AG LAND, CROPLAND - ACRES",TOTAL,NOT SPECIFIED,"304,498",(L)
CENSUS,2022,YEAR,COUNTY,IOWA,19,CENTRAL,50,POLK,153,AG LAND,"AG LAND, CROPLAND - ACRES",TOTAL,NOT SPECIFIED,"161,105",(L)
CENSUS,2022,YEAR,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,AG LAND,"AG LAND, CROPLAND - ACRES",TOTAL,NOT SPECIFIED,"250,979",(L)
CENSUS,2022,YEAR,COUNTY,IOWA,19,CENTRAL,50,STORY,169,AG LAND,"AG LAND, CROPLAND - ACRES",TOTAL,NOT SPECIFIED,"277,178",(L)
CENSUS,2022,YEAR,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,AG LAND,"AG LAND, CROPLAND - ACRES",TOTAL,NOT SPECIFIED,"314,988",(L)
CENSUS,2022,YEAR,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,AG LAND,"AG LAND, CROPLAND - ACRES",TOTAL,NOT SPECIFIED,"335,107",(L)
CENSUS,2022,YEAR,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,011,AG LAND,"AG LAND, CROPLAND - ACRES",TOTAL,NOT SPECIFIED,"340,015",(L)
